日期,實際點餐人數,模型預估人數,誤差值,誤差比例,週平均,平均
2018/9/17,492,,,,,
2018/9/18,618,,,,,
2018/9/19,511,,,,,
2018/9/20,519,,,,,
2018/9/21,508,,,,,
2018/9/22,0,,,,,
2018/9/23,12,,,,,
2018/9/24,0,,,,,
2018/9/25,473,,,,,
2018/9/26,481,,,,,
2018/9/27,477,,,,,
2018/9/28,476,,,,,
2018/9/29,0,,,,,
2018/9/30,612,,,,,
2018/10/1,459,,,,,
2018/10/2,463,,,,,
2018/10/3,485,,,,,
2018/10/4,466,,,,,
2018/10/5,474,,,,,
2018/10/6,1,,,,,
2018/10/7,0,,,,,
2018/10/8,434,,,,,
2018/10/9,458,,,,,
2018/10/10,0,,,,,
2018/10/11,425,,,,,
2018/10/12,438,,,,,
2018/10/13,0,,,,,
2018/10/14,1,,,,,
2018/10/15,409,,,,,
2018/10/16,388,,,,,
2018/10/17,379,,,,,
2018/10/18,431,,,,,
2018/10/19,453,,,,,
2018/10/20,0,,,,,
2018/10/21,0,,,,,
2018/10/22,443,,,,,
2018/10/23,444,,,,,
2018/10/24,427,,,,,
2018/10/25,402,,,,,
2018/10/26,433,,,,,
2018/10/27,0,,,,,
2018/10/28,4,,,,,
2018/10/29,416,,,,,
2018/10/30,392,,,,,
2018/10/31,390,,,,,
2018/11/1,368,,,,,
2018/11/2,383,,,,,
2018/11/3,3,,,,,
2018/11/4,0,,,,,
2018/11/5,332,,,,,
2018/11/6,366,,,,,
2018/11/7,326,,,,,
2018/11/8,350,,,,,
2018/11/9,0,,,,,
2018/11/10,0,,,,,
2018/11/11,1,,,,,
2018/11/12,556,,,,,
2018/11/13,457,,,,,
2018/11/14,352,,,,,
2018/11/15,352,,,,,
2018/11/16,301,,,,,
2018/11/17,0,0,0,#DIV/0!,,7.10089769600042%
2018/11/18,0,1,1,#DIV/0!,,
2018/11/19,325,280,45,13.85%,,
2018/11/20,344,333,11,3.20%,,
2018/11/21,361,283,78,21.61%,,
2018/11/22,320,326,6,1.88%,,
2018/11/23,344,292,52,15.12%,11.13%,
2018/11/24,0,0,0,#DIV/0!,,
2018/11/25,0,0,0,#DIV/0!,,
2018/11/26,341,308,33,9.68%,,
2018/11/27,320,321,1,0.31%,,
2018/11/28,332,271,61,18.37%,,
2018/11/29,318,309,9,2.83%,,
2018/11/30,290,279,11,3.79%,7.00%,
2018/12/1,0,0,0,#DIV/0!,,
2018/12/2,0,0,0,#DIV/0!,,
2018/12/3,303,297,6,1.98%,,
2018/12/4,305,303,2,0.66%,,
2018/12/5,284,254,30,10.56%,,
2018/12/6,302,293,9,2.98%,,
2018/12/7,320,258,62,19.38%,7.11%,
2018/12/8,0,0,0,#DIV/0!,,
2018/12/9,0,0,0,#DIV/0!,,
2018/12/10,315,282,33,10.48%,,
2018/12/11,306,287,19,6.21%,,
2018/12/12,292,282,10,3.42%,,
2018/12/13,286,281,5,1.75%,,
2018/12/14,299,244,55,18.39%,8.05%,
2018/12/15,0,0,0,#DIV/0!,,
2018/12/16,0,0,0,#DIV/0!,,
2018/12/17,279,275,4,1.43%,,
2018/12/18,274,280,6,2.19%,,
2018/12/19,258,273,15,5.81%,,
2018/12/20,255,265,10,3.92%,,
2018/12/21,262,228,34,12.98%,5.27%,
2018/12/22,253,0,253,100%,,
2018/12/23,0,0,0,#DIV/0!,,
2018/12/24,255,259,4,1.57%,,
2018/12/25,257,261,4,1.56%,,
2018/12/26,252,254,2,0.79%,,
2018/12/27,245,250,5,2.04%,,
2018/12/28,238,212,26,10.92%,3.38%,
2018/12/29,0,22,22,#DIV/0!,,
2018/12/30,0,0,0,#DIV/0!,,
2018/12/31,0,243,243,#DIV/0!,,
2019/1/1,0,246,246,#DIV/0!,,
2019/1/2,237,238,1,0.42%,,
2019/1/3,244,237,7,2.87%,,
2019/1/4,223,197,26,11.66%,4.98%,
2019/1/5,0,22,22,#DIV/0!,,
2019/1/6,0,0,0,#DIV/0!,,
2019/1/7,142,209,67,47.18%,,
2019/1/8,376,209,167,44.41%,,
2019/1/9,212,227,15,7.08%,,
2019/1/10,207,226,19,9.18%,,
2019/1/11,224,217,7,3.13%,22.20%,
2019/1/12,0,22,22,#DIV/0!,,
2019/1/13,0,0,0,#DIV/0!,,
2019/1/14,217,187,30,13.82%,,
2019/1/15,175,198,23,13.14%,,
2019/1/16,205,215,10,4.88%,,
2019/1/17,195,211,16,8.21%,10.01%,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
